Gender,Marital_Status,Employment_Type,Education_Level,Loan_Purpose,Age,Loan_Amount,Tenure_Months,Income
Male,Divorced,Unemployed,High School,Medical,41,231972,21,1673770
Male,Married,Unemployed,High School,Medical,43,787499,23,1885471
Female,Married,Salaried,Diploma,Education,42,399878,35,1173270
Male,Widowed,Self-employed,High School,Medical,62,758321,53,463867
Male,Single,Unemployed,Bachelor,Housing,58,518679,15,905126
Male,Widowed,Self-employed,Diploma,Personal,46,431818,23,1380728
Male,Single,Self-employed,Diploma,Business,32,754149,43,1079242
Female,Divorced,Unemployed,PhD,Business,62,847831,24,120474
Male,Married,Salaried,High School,Personal,18,688832,41,1661049
Male,Divorced,Unemployed,Bachelor,Education,42,714590,18,400068
Male,Married,Self-employed,Bachelor,Housing,24,17099,51,1360624
Male,Married,Self-employed,Diploma,Personal,26,783974,8,1041921
Male,Single,Unemployed,PhD,Medical,41,428647,15,1879438
Male,Widowed,Unemployed,Bachelor,Housing,18,590780,43,776499
Female,Widowed,Salaried,PhD,Business,61,106722,6,871412
Female,Single,Salaried,Diploma,Education,25,975188,32,1645368
Male,Single,Self-employed,PhD,Housing,41,564399,51,1153546
Female,Married,Unemployed,High School,Housing,28,73936,13,1377486
Male,Divorced,Unemployed,Diploma,Medical,34,687974,56,691232
Male,Married,Self-employed,PhD,Business,25,233332,51,1978930
Female,Single,Unemployed,Bachelor,Personal,52,969495,47,454911
Female,Married,Salaried,High School,Housing,52,735836,22,461012
Male,Widowed,Self-employed,High School,Personal,50,783319,14,1272191
Female,Single,Unemployed,High School,Housing,22,333064,11,1596242
Male,Married,Self-employed,Diploma,Business,59,497510,48,1787075
Male,Divorced,Unemployed,Diploma,Medical,56,73530,30,1219070
Female,Widowed,Unemployed,PhD,Medical,58,439440,44,1857805
Male,Single,Salaried,Diploma,Education,45,279932,54,1631666
Female,Widowed,Self-employed,Master,Personal,24,562370,33,221277
Male,Married,Unemployed,Diploma,Medical,26,919719,38,541966
Male,Single,Self-employed,Bachelor,Housing,25,623858,59,346303
Male,Married,Salaried,High School,Education,29,635303,42,1110092
Male,Single,Unemployed,High School,Personal,51,742176,14,1411212
Male,Divorced,Unemployed,PhD,Business,50,880020,23,865518
Female,Widowed,Salaried,Diploma,Personal,40,157603,26,1736622
Male,Widowed,Self-employed,Diploma,Business,41,884772,7,1653344
Male,Married,Salaried,PhD,Education,54,628727,48,233163
Male,Widowed,Salaried,Master,Business,52,972361,43,1226599
Male,Widowed,Self-employed,Bachelor,Personal,61,151214,45,422339
Female,Single,Self-employed,Master,Medical,57,649341,41,1277414
Male,Divorced,Unemployed,Diploma,Housing,39,582643,55,875169
Female,Widowed,Self-employed,Master,Medical,44,413082,48,321409
Female,Divorced,Self-employed,Bachelor,Medical,52,211139,42,688453
Male,Widowed,Unemployed,High School,Business,18,768994,20,693789
Female,Married,Unemployed,Bachelor,Education,52,659714,33,1872193
Female,Widowed,Unemployed,High School,Business,54,598315,23,1431710
Male,Divorced,Self-employed,PhD,Personal,64,461122,39,544670
Female,Divorced,Salaried,Diploma,Housing,31,169210,27,851818
Female,Single,Self-employed,Master,Housing,20,102601,16,1989726
Female,Widowed,Unemployed,Diploma,Medical,18,39956,18,873857
Male,Single,Salaried,PhD,Business,22,248340,9,171635
Female,Divorced,Self-employed,Bachelor,Education,43,639085,27,748614
Female,Divorced,Salaried,Diploma,Personal,31,921349,12,270935
Female,Divorced,Self-employed,Bachelor,Medical,56,922735,48,1610142
Female,Married,Unemployed,High School,Medical,44,479511,59,1152210
Male,Widowed,Unemployed,Bachelor,Personal,26,670799,29,1054221
Female,Single,Salaried,High School,Housing,32,974745,9,753022
Female,Single,Salaried,High School,Education,32,838965,33,923420
Female,Married,Unemployed,PhD,Medical,43,431486,20,1857720
Female,Single,Self-employed,Master,Medical,59,613103,6,1991345
Male,Single,Unemployed,Diploma,Medical,30,49279,8,542503
Male,Divorced,Self-employed,PhD,Personal,49,381931,19,268599
Male,Divorced,Salaried,Diploma,Education,56,951392,43,287919
Female,Single,Unemployed,Bachelor,Personal,49,158702,55,518668
Male,Divorced,Salaried,Master,Medical,21,71063,6,453359
Female,Single,Unemployed,Diploma,Personal,47,783887,43,1583183
Female,Single,Self-employed,Master,Housing,54,264311,43,1690307
Female,Widowed,Self-employed,High School,Medical,40,662184,26,1390144
Female,Married,Salaried,High School,Personal,56,700504,53,1449564
Male,Married,Unemployed,Bachelor,Education,62,455377,34,878416
Male,Married,Salaried,Diploma,Personal,32,499934,10,91505
Female,Single,Self-employed,PhD,Education,60,529089,54,1201054
Male,Divorced,Self-employed,PhD,Education,46,756434,15,1161275
Female,Widowed,Unemployed,High School,Medical,53,218432,33,994461
Male,Single,Self-employed,Diploma,Medical,30,192051,26,1517256
Female,Single,Self-employed,Diploma,Business,49,107661,55,950444
Female,Married,Salaried,PhD,Education,24,934483,12,204721
Male,Divorced,Self-employed,High School,Business,39,953693,8,1060165
Female,Widowed,Salaried,Diploma,Medical,45,707960,50,871190
Female,Married,Unemployed,Diploma,Medical,19,462776,52,186668
Female,Married,Salaried,Diploma,Personal,59,481256,25,328518
Male,Widowed,Self-employed,Bachelor,Personal,62,133257,24,692974
Male,Married,Salaried,Master,Personal,23,989062,40,1364495
Female,Widowed,Unemployed,Master,Education,45,882637,9,1912396
Female,Widowed,Unemployed,Diploma,Personal,45,279054,10,1484520
Male,Married,Unemployed,Bachelor,Education,61,985217,6,857461
Female,Widowed,Salaried,Diploma,Education,61,843289,9,658269
Female,Divorced,Salaried,Master,Education,37,569252,17,1414359
Female,Widowed,Salaried,Bachelor,Education,47,428443,32,1212586
Female,Widowed,Salaried,PhD,Business,28,933482,47,1653969
Female,Married,Salaried,High School,Business,45,813585,28,573472
Male,Divorced,Unemployed,Master,Business,42,331909,30,456884
Female,Single,Salaried,Diploma,Housing,56,764444,26,309021
Female,Single,Salaried,High School,Business,50,642500,57,197032
Female,Widowed,Self-employed,PhD,Personal,18,573359,29,700807
Female,Divorced,Unemployed,Master,Education,44,122990,30,1241005
Female,Married,Unemployed,Diploma,Housing,30,79519,50,507820
Male,Married,Self-employed,Master,Personal,58,19503,51,939171
Female,Single,Salaried,Bachelor,Education,20,201775,37,1412516
Male,Married,Self-employed,Master,Medical,56,991883,37,327948
Female,Single,Unemployed,Diploma,Medical,23,629745,10,1750596
Male,Divorced,Self-employed,PhD,Housing,25,723226,41,1083237
Female,Married,Unemployed,Bachelor,Housing,44,157977,51,1768562
Male,Divorced,Unemployed,High School,Education,26,580126,47,209204
Female,Married,Self-employed,Bachelor,Business,54,921632,54,1892959
Male,Single,Salaried,Bachelor,Medical,50,461495,47,973953
Male,Married,Self-employed,Diploma,Medical,59,623777,44,1379785
Female,Divorced,Self-employed,Bachelor,Business,61,36806,21,937935
Male,Married,Salaried,Bachelor,Education,41,186072,38,155072
Female,Widowed,Unemployed,Diploma,Housing,32,425384,54,714490
Male,Divorced,Salaried,High School,Medical,49,80119,26,139360
Male,Married,Unemployed,Master,Education,49,835146,14,112287
Male,Divorced,Unemployed,Diploma,Personal,41,195165,11,1336585
Female,Divorced,Salaried,Master,Education,58,851851,56,757062
Male,Single,Self-employed,Bachelor,Personal,29,976649,50,742353
Male,Single,Self-employed,Diploma,Business,56,639720,40,737235
Female,Married,Self-employed,Bachelor,Medical,19,480641,44,820644
Male,Widowed,Unemployed,Bachelor,Personal,20,889381,27,711414
Male,Married,Unemployed,High School,Personal,54,481027,46,280881
Male,Divorced,Self-employed,Diploma,Personal,34,929965,59,1205933
Female,Widowed,Salaried,High School,Personal,19,417507,10,1540309
Female,Married,Unemployed,Bachelor,Education,19,712164,47,257440
Female,Divorced,Self-employed,High School,Medical,45,873403,28,603958
Male,Divorced,Self-employed,Master,Medical,40,889903,22,1934120
Female,Single,Self-employed,PhD,Medical,54,861378,17,924820
Male,Single,Unemployed,Master,Education,49,895421,28,1449876
Male,Married,Salaried,Master,Medical,50,94080,21,1257955
Male,Divorced,Self-employed,High School,Housing,18,262791,8,818447
Female,Widowed,Self-employed,High School,Education,36,988836,35,1296735
Male,Widowed,Salaried,Bachelor,Business,19,87794,27,1932930
Male,Married,Salaried,Diploma,Housing,61,302985,14,244152
Female,Married,Unemployed,High School,Housing,43,134447,34,1978356
Male,Divorced,Unemployed,PhD,Housing,49,130029,52,653623
Female,Divorced,Salaried,Diploma,Education,23,189830,42,862744
Male,Divorced,Salaried,High School,Medical,49,517942,28,1072660
Female,Divorced,Unemployed,PhD,Business,21,348416,18,1165561
Male,Divorced,Self-employed,High School,Personal,28,571931,37,1753608
Male,Single,Unemployed,Diploma,Business,34,977912,51,1874577
Female,Divorced,Salaried,High School,Personal,55,316094,57,1025112
Male,Divorced,Self-employed,Master,Housing,41,197921,52,533178
Male,Divorced,Unemployed,Master,Education,22,372644,53,1985971
Female,Married,Unemployed,Diploma,Business,51,693404,28,1269925
Female,Married,Unemployed,Bachelor,Housing,23,508685,50,605839
Female,Married,Salaried,PhD,Personal,39,397732,22,664101
Female,Divorced,Unemployed,Master,Business,28,550285,45,499813
Female,Single,Unemployed,Bachelor,Education,33,876183,26,1986033
Male,Widowed,Self-employed,Master,Business,50,632893,7,1485062
Female,Widowed,Salaried,High School,Housing,26,951415,42,1799148
Female,Widowed,Unemployed,Diploma,Business,23,851965,11,1108213
Male,Married,Unemployed,High School,Medical,33,354710,49,1928266
Female,Divorced,Salaried,PhD,Housing,46,760230,23,1003197
Male,Single,Self-employed,Master,Medical,20,679931,35,977328
Male,Single,Self-employed,PhD,Personal,37,642543,27,1752417
Male,Married,Self-employed,PhD,Housing,53,794586,59,601238
Male,Married,Salaried,Diploma,Medical,36,461157,38,466704
Female,Widowed,Unemployed,High School,Education,43,68005,35,1750734
Male,Single,Self-employed,Master,Business,20,227322,22,1596336
Female,Divorced,Salaried,High School,Personal,36,199784,48,50215
Male,Divorced,Unemployed,Bachelor,Medical,37,577829,37,417747
Male,Divorced,Self-employed,High School,Medical,49,33387,47,847955
Female,Widowed,Unemployed,Master,Business,24,890412,56,905121
Male,Married,Self-employed,PhD,Housing,58,714268,19,1122410
Male,Single,Salaried,Bachelor,Housing,50,95457,15,1395194
Female,Divorced,Salaried,Bachelor,Education,57,154129,52,1665930
Female,Married,Salaried,PhD,Medical,56,598316,56,1067375
Female,Divorced,Unemployed,Diploma,Personal,35,653534,41,322544
Female,Married,Unemployed,Bachelor,Housing,57,327875,39,584633
Female,Widowed,Unemployed,PhD,Medical,18,690218,14,1132472
Male,Widowed,Salaried,Diploma,Education,28,189761,47,1577222
Female,Married,Salaried,Bachelor,Housing,45,578926,33,1913907
Female,Widowed,Unemployed,PhD,Housing,42,494814,16,1597963
Male,Widowed,Unemployed,Bachelor,Medical,40,187558,19,864661
Female,Single,Salaried,PhD,Business,48,554855,44,560269
Male,Divorced,Salaried,High School,Business,47,432955,52,1366303
Female,Widowed,Salaried,Master,Business,59,592092,59,972401
Male,Widowed,Salaried,PhD,Medical,52,380965,24,563622
Female,Widowed,Self-employed,High School,Education,24,13754,59,1170113
Female,Widowed,Unemployed,PhD,Business,33,561332,20,1863353
Female,Divorced,Unemployed,Diploma,Business,43,77260,33,447783
Male,Divorced,Salaried,High School,Education,19,76912,29,1697671
Male,Single,Unemployed,Bachelor,Medical,18,266695,13,703936
Female,Widowed,Self-employed,Bachelor,Personal,29,542994,48,949084
Male,Widowed,Salaried,Diploma,Education,22,805326,14,520455
Female,Divorced,Unemployed,Diploma,Personal,54,945541,52,718689
Male,Married,Salaried,Master,Education,49,356130,38,282117
Female,Divorced,Salaried,Master,Housing,26,878374,38,1871644
Female,Divorced,Self-employed,High School,Business,58,716972,24,1432512
Male,Divorced,Salaried,Master,Housing,52,39725,8,1492020
Female,Single,Unemployed,Diploma,Housing,36,146998,15,1311862
Female,Divorced,Self-employed,High School,Housing,33,114555,45,611340
Female,Widowed,Unemployed,Master,Housing,20,271486,52,500985
Male,Divorced,Salaried,Master,Housing,37,805928,47,96032
Male,Widowed,Salaried,High School,Personal,41,590735,6,554910
Male,Married,Self-employed,High School,Business,50,898036,34,1056225
Male,Single,Self-employed,Bachelor,Education,41,695166,55,1394406
Male,Divorced,Salaried,Bachelor,Personal,28,884631,39,913413
Female,Single,Salaried,PhD,Housing,25,575609,56,673090
Male,Single,Salaried,Diploma,Education,53,787401,18,970313
Female,Married,Salaried,Bachelor,Personal,55,243103,59,1332913
Male,Divorced,Salaried,Bachelor,Medical,57,992599,6,1271433
Male,Divorced,Unemployed,Bachelor,Housing,37,425872,39,479763
Female,Single,Unemployed,Diploma,Education,52,65147,34,354962
Female,Married,Salaried,PhD,Medical,42,625684,53,1985430
Male,Widowed,Self-employed,PhD,Business,52,452882,52,1432647
Female,Divorced,Self-employed,High School,Housing,42,485584,18,1819617
Male,Divorced,Salaried,High School,Education,46,310931,53,391609
Male,Married,Salaried,PhD,Education,35,254839,54,1843798
Male,Married,Salaried,PhD,Medical,63,466162,58,800887
Male,Divorced,Unemployed,Master,Personal,35,556015,34,687509
Female,Married,Self-employed,PhD,Housing,19,773711,44,349477
Male,Widowed,Salaried,PhD,Personal,52,105081,29,1225033
Male,Married,Unemployed,Master,Personal,33,394865,31,1377296
Female,Single,Unemployed,High School,Housing,58,775418,22,1218451
Male,Single,Salaried,Master,Business,53,602344,12,1924413
Female,Widowed,Salaried,Diploma,Housing,50,668441,18,930432
Female,Divorced,Salaried,Bachelor,Business,21,699556,10,516995
Female,Single,Unemployed,Diploma,Business,50,702095,31,605889
Female,Single,Salaried,High School,Business,31,770109,54,904378
Female,Married,Salaried,PhD,Personal,38,90102,8,1412836
Male,Divorced,Salaried,Diploma,Housing,37,166570,12,1616541
Male,Widowed,Salaried,PhD,Personal,25,611153,54,1609048
Female,Single,Unemployed,High School,Business,24,697016,44,678474
Male,Married,Salaried,Master,Housing,20,77695,58,899326
Male,Single,Self-employed,High School,Education,34,441116,6,739995
Female,Divorced,Salaried,Diploma,Medical,50,531608,54,1892473
Female,Single,Self-employed,Master,Personal,29,127235,22,1679618
Female,Divorced,Unemployed,High School,Education,39,450917,48,1327623
Male,Widowed,Unemployed,Diploma,Housing,39,643065,30,142850
Female,Widowed,Unemployed,PhD,Business,63,29033,8,946197
Female,Widowed,Salaried,PhD,Personal,47,526409,20,1839055
Female,Married,Salaried,Master,Medical,55,676165,34,1453411
Male,Widowed,Unemployed,Bachelor,Personal,55,701211,58,1661735
Female,Married,Unemployed,High School,Housing,62,561120,48,1292522
Female,Widowed,Unemployed,Bachelor,Personal,25,204509,37,520949
Male,Widowed,Self-employed,Bachelor,Medical,44,387869,31,865943
Male,Widowed,Self-employed,Diploma,Housing,44,155016,21,917392
Female,Single,Self-employed,Diploma,Personal,51,292017,30,1016325
Male,Married,Self-employed,Bachelor,Medical,38,574660,59,1950784
Male,Divorced,Unemployed,Bachelor,Personal,47,99464,33,1347776
Female,Married,Unemployed,High School,Medical,50,680739,14,775527
Female,Divorced,Unemployed,PhD,Housing,45,127322,6,1405182
Female,Widowed,Salaried,PhD,Business,64,702111,34,1553174
Male,Divorced,Salaried,Master,Education,50,896514,27,533410
Male,Married,Salaried,Master,Business,22,755182,21,1857317
Female,Widowed,Salaried,PhD,Medical,36,801542,46,1655438
Female,Married,Unemployed,High School,Education,21,457557,56,1724936
Male,Married,Self-employed,Bachelor,Business,52,808519,49,1533702
Female,Married,Self-employed,Master,Personal,34,426978,56,1303179
Female,Divorced,Unemployed,PhD,Personal,61,879049,59,1779122
Male,Married,Self-employed,PhD,Business,45,634771,46,1776749
Female,Widowed,Unemployed,High School,Medical,47,533886,12,784172
Male,Widowed,Self-employed,PhD,Personal,46,543884,19,1839461
Female,Single,Salaried,Diploma,Education,63,244627,34,1963290
Female,Divorced,Unemployed,Diploma,Business,23,641827,24,159779
Female,Widowed,Salaried,Bachelor,Medical,52,552601,24,1117133
Female,Widowed,Salaried,Master,Housing,58,909607,7,1257708
Male,Single,Salaried,Master,Business,54,731909,46,502082
Female,Widowed,Unemployed,Diploma,Personal,41,124914,50,384248
Male,Married,Salaried,Master,Housing,46,557993,20,1854841
Female,Divorced,Unemployed,Master,Business,63,732724,8,1576369
Male,Divorced,Unemployed,Bachelor,Personal,48,869877,16,711440
Female,Single,Unemployed,High School,Medical,52,113892,58,1243502
Male,Widowed,Salaried,Bachelor,Personal,50,744005,51,773055
Male,Widowed,Self-employed,High School,Housing,38,274167,35,1780961
Female,Widowed,Salaried,Diploma,Medical,49,653942,45,1282630
Male,Divorced,Unemployed,Bachelor,Personal,40,200868,23,615369
Female,Divorced,Unemployed,Diploma,Education,50,90073,56,971872
Male,Divorced,Unemployed,High School,Education,20,888629,53,804981
Female,Divorced,Salaried,High School,Education,35,598717,7,431325
Male,Married,Salaried,PhD,Housing,42,114195,37,863526
Female,Single,Salaried,Master,Business,59,726987,13,1013544
Female,Married,Self-employed,Bachelor,Housing,48,43848,27,378910
Female,Single,Salaried,PhD,Medical,20,965308,11,1968061
Male,Divorced,Unemployed,Master,Business,57,942883,17,1253639
Female,Widowed,Salaried,Master,Business,63,987168,52,1886309
Male,Married,Unemployed,Bachelor,Education,41,299910,45,733970
Female,Single,Salaried,High School,Medical,49,78099,41,655751
Female,Widowed,Self-employed,PhD,Business,64,439276,20,1788614
Male,Single,Unemployed,Bachelor,Business,39,79122,33,1385186
Male,Married,Self-employed,Diploma,Business,40,681447,57,523656
Male,Married,Unemployed,Bachelor,Education,19,583156,54,1008379
Male,Married,Salaried,Bachelor,Business,44,653407,50,1124657
Male,Widowed,Unemployed,Master,Education,59,426441,23,1122930
Male,Widowed,Unemployed,PhD,Business,19,891718,7,667585
Male,Divorced,Self-employed,Master,Business,43,278787,18,854732
Male,Single,Self-employed,High School,Personal,34,496275,50,1162960
Male,Married,Unemployed,Master,Medical,57,308871,59,1980035
Female,Married,Self-employed,Diploma,Education,50,938509,20,1744548
Female,Divorced,Unemployed,PhD,Medical,26,119079,25,897324
Female,Widowed,Salaried,Diploma,Personal,60,862129,34,85525
Male,Widowed,Unemployed,Bachelor,Medical,56,26029,47,994036
Male,Divorced,Self-employed,Bachelor,Medical,46,256353,34,56464
Male,Married,Self-employed,Bachelor,Education,59,417442,8,1639426
Male,Widowed,Self-employed,PhD,Medical,43,204718,24,1992400
Male,Single,Salaried,PhD,Personal,52,988107,8,1678378
Female,Single,Self-employed,Master,Personal,42,431947,59,425572
Male,Single,Self-employed,PhD,Education,41,381602,19,1211140
Female,Married,Salaried,Diploma,Housing,30,906816,45,1468767
Male,Married,Self-employed,Diploma,Business,24,78926,9,1566011
Male,Single,Salaried,Diploma,Medical,53,671357,57,606922
Male,Widowed,Self-employed,Bachelor,Business,62,327650,16,1885068
Female,Divorced,Salaried,Bachelor,Business,37,874661,36,1894277
Female,Widowed,Salaried,PhD,Business,18,453031,48,244215
Female,Married,Self-employed,Bachelor,Education,25,52092,37,1645929
Male,Widowed,Salaried,High School,Medical,63,334683,32,315039
Male,Married,Self-employed,Bachelor,Business,33,993581,35,1441579
Male,Widowed,Unemployed,Bachelor,Medical,31,162889,48,1766288
Female,Single,Unemployed,Diploma,Medical,29,703221,7,1017241
Female,Widowed,Salaried,PhD,Housing,40,547716,54,154127
Female,Single,Salaried,Master,Housing,32,185006,14,146426
Male,Single,Salaried,Diploma,Education,45,780915,33,999520
Female,Married,Self-employed,Diploma,Medical,51,779727,36,1290952
Female,Divorced,Self-employed,Master,Medical,19,151330,39,1110538
Female,Single,Unemployed,PhD,Business,49,67775,20,83302
Female,Married,Salaried,Diploma,Housing,40,746940,53,1446102
Male,Single,Self-employed,High School,Business,39,277613,30,54011
Male,Single,Self-employed,PhD,Business,42,300998,41,69782
Male,Divorced,Unemployed,High School,Medical,39,671616,13,1297339
Female,Widowed,Unemployed,Master,Housing,39,789446,14,1743518
Female,Single,Self-employed,Bachelor,Business,59,86256,42,482941
Female,Single,Unemployed,Master,Personal,23,961441,53,1632060
Female,Widowed,Unemployed,PhD,Housing,32,371278,50,1142035
Male,Widowed,Unemployed,Bachelor,Medical,60,667011,44,661533
Male,Married,Salaried,PhD,Business,54,191360,37,572829
Female,Divorced,Self-employed,Master,Personal,50,356874,57,653151
Female,Single,Self-employed,PhD,Business,25,428267,22,959638
Male,Single,Salaried,PhD,Housing,61,299530,40,1873327
Male,Single,Self-employed,High School,Housing,61,252634,42,1461730
Male,Married,Salaried,Master,Education,22,943688,24,1131345
Female,Widowed,Unemployed,Master,Business,56,43787,49,419673
Male,Single,Salaried,Bachelor,Education,21,555909,34,1879297
Female,Married,Self-employed,PhD,Education,23,612272,12,1123276
Female,Single,Self-employed,Bachelor,Personal,62,463008,33,1869728
Male,Widowed,Unemployed,Master,Personal,49,448469,14,1834292
Male,Widowed,Unemployed,Diploma,Housing,47,830483,33,1043931
Male,Divorced,Salaried,Master,Housing,64,321955,11,281237
Female,Divorced,Self-employed,Master,Medical,52,40447,34,1890277
Male,Married,Unemployed,Diploma,Education,57,138046,22,958063
Male,Widowed,Self-employed,High School,Medical,33,749290,21,356024
Female,Single,Self-employed,Diploma,Personal,30,526494,28,164003
Female,Married,Salaried,Bachelor,Business,59,695614,36,1237968
Male,Widowed,Self-employed,Bachelor,Business,47,880477,8,99589
Male,Married,Unemployed,Bachelor,Personal,36,651147,26,300606
Female,Married,Salaried,Master,Housing,34,198490,31,781636
Male,Single,Salaried,Bachelor,Business,36,417688,41,610185
Male,Single,Self-employed,Diploma,Housing,45,514409,47,239637
Male,Widowed,Self-employed,PhD,Business,43,537759,42,736290
Female,Divorced,Self-employed,High School,Housing,54,248404,58,1811169
Female,Divorced,Unemployed,Master,Personal,43,654600,27,1312469
Female,Married,Unemployed,PhD,Personal,40,526595,47,1899388
Female,Divorced,Self-employed,Diploma,Education,26,761164,17,1830832
Female,Married,Salaried,Diploma,Housing,29,673689,47,1169510
Female,Divorced,Unemployed,PhD,Business,18,175937,18,630118
Female,Single,Salaried,Diploma,Medical,18,56850,16,317673
Male,Single,Unemployed,Master,Personal,64,326364,59,1875228
Male,Married,Salaried,Diploma,Housing,51,253306,21,406742
Female,Divorced,Salaried,PhD,Housing,49,103808,13,807582
Female,Single,Self-employed,Diploma,Business,42,511597,45,132987
Male,Single,Unemployed,PhD,Business,57,671757,45,1672042
Female,Married,Unemployed,Diploma,Housing,62,238981,50,1236585
Male,Single,Salaried,High School,Medical,18,532220,7,1482672
Male,Married,Salaried,PhD,Personal,33,700885,35,614174
